#==============================================================================
# DATASET #0
#==============================================================================
0 2.22045e-16
-0.0140175 1.199
-0.0278736 2.38418
-0.0418032 3.57563
-0.0557354 4.76729
-0.0697067 5.96228
-0.0836255 7.15277
-0.0975696 8.3454
-0.111499 9.53676
-0.125431 10.7283
-0.139362 11.9198
-0.1533 13.1119
-0.167141 14.3035
-0.181814 15.4966
-0.195073 16.6876
-0.208176 17.881
-0.222069 19.0766
-0.237295 20.2702
-0.253156 21.4647
-0.270764 22.6588
-0.288791 23.853
-0.307115 25.0468
-0.327351 26.2431
-0.347249 27.4417
-0.367798 28.6371
-0.389214 29.8283
-0.411276 31.0279
-0.435716 32.2319
-0.459653 33.4202
-0.484698 34.6148
-0.509819 35.8126
-0.536706 37.0093
-0.562741 38.2069
-0.590462 39.4055
-0.61817 40.6024
-0.646632 41.7987
-0.675668 42.9959
-0.708016 44.1956
-0.735861 45.3956
-0.761728 46.5961
-0.784447 47.8015
-0.80502 49.0045
-0.822002 50.2035
-0.84029 51.4046
-0.859463 52.6058
-0.875378 53.8113
-0.892873 55.0152
-0.91186 56.2203
-0.933231 57.4278
-0.956215 58.6326
-0.981436 59.8386


#==============================================================================
# DATASET #1
#==============================================================================
0 2.22045e-16
0.986558 0.0100131
1.93465 0.278581
1.68921 1.24754
1.52454 2.23384
1.31377 3.21136
1.11186 4.1906
0.859447 5.15822
0.512536 6.09584
0.40218 7.08972
0.167569 8.06167
-0.0691931 9.03322
-0.324673 10
-0.960449 10.771
-0.749506 11.7483
-1.10514 12.6622
-1.31415 13.6399
-1.51888 14.6186
-1.83059 15.5687
-2.09114 16.534
-1.52406 17.3568
-0.720563 17.9494
-1.17017 18.8415
-1.50721 19.7828
-1.9887 20.6592
-1.16445 21.2252
-1.96521 21.8242
-2.7652 22.424
-2.22415 23.2647
-3.12372 23.7011
-3.99129 24.1981
-4.84921 24.7111
-5.65646 25.3004
-6.55353 25.74
-7.53016 25.9504
-8.43195 26.3823
-9.34919 26.7806
-10.2357 27.2405
-11.1644 27.6106
-12.0832 28.0051
-13.064 28.1772
-13.9517 28.6342
-14.8804 29.0052
-15.7872 29.4229
-16.7084 29.8117
-17.6079 30.2485
-18.4681 30.7361
-19.249 31.359
-20.1364 31.8199
-20.9394 32.4126
-20.8658 33.3374


